pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
14 And b,14 And,1,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,Published Confirmed,0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,185.84,0.23,-0.23,0.0,0.83,,,0.0,,,,,,,,,,,,,,,,,1525.5,,,0.0,4.8,,,0.0,,,,,,,,,1525.5,,,0.0,4.8,,,0.0,Msini,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,100.0,1.3,-1.3,0.0,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,K0 III,4813.0,20.0,-20.0,0.0,11.0,1.0,-1.0,0.0,2.2,0.1,-0.2,0.0,-0.24,0.03,-0.03,0.0,[Fe/H],1.763,,,0.0,2.63,0.07,-0.07,0.0,,,,,,,,,2.6,,,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,75.4392,0.714,-0.714,5.23133,0.023,-0.023,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,2014-05-14,2008-12,2014-05-14
30 Ari B b,30 Ari B,1,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,,,,,,,,,,,,,,,,,4392.4106,572.094,-572.094,0.0,13.82,1.8,-1.8,0.0,,,,,,,,,4392.4106,572.094,-572.094,0.0,13.82,1.8,-1.8,0.0,Msini,,,,,0.29,0.09,-0.09,0.0,,,,,,,,,,,,,,,,,,0.0,272.0,24.0,-24.0,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6331.0,61.0,-61.0,0.0,1.41,0.05,-0.05,0.0,1.93,0.27,-0.27,0.0,0.19,,,0.0,[Fe/H],,,,,4.43,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.657,0.1039,-0.1034,7.09209,0.023,-0.023,5.822,0.021,-0.021,6.96085,0.000512,-0.000512,2018-09-04,2017-03,2018-09-06
4 UMa b,4 UMa,1,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,,,,,,,,,,,,,,,,,2256.5,508.5,-508.5,0.0,7.1,1.6,-1.6,0.0,,,,,,,,,2256.5,508.5,-508.5,0.0,7.1,1.6,-1.6,0.0,Msini,,,,,0.432,0.024,-0.024,0.0,,,,,,,,,,,,,,,,,,0.0,215.55,7.1,-7.1,0.0,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,K1 III,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.23,0.15,-0.15,0.0,-0.25,0.04,-0.04,0.0,[Fe/H],,,,,1.8,0.15,-0.15,0.0,4.604,2.0,-2.0,0.0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603,1.18605,-1.18605,4.5801,0.023,-0.023,1.734,0.218,-0.218,4.23773,0.0047288,-0.0047288,2014-05-14,2007-09,2014-05-14
42 Dra b,42 Dra,1,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,Published Confirmed,0,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,,,,,,,,,,,,,,,,,1233.13,270.14,-270.14,0.0,3.88,0.85,-0.85,0.0,,,,,,,,,1233.13,270.14,-270.14,0.0,3.88,0.85,-0.85,0.0,Msini,,,,,0.38,0.06,-0.06,0.0,,,,,,,,,,,,,,,,,,0.0,110.5,7.0,-7.0,0.0,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,K1.5 III,4200.0,70.0,-70.0,0.0,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0,-0.46,0.05,-0.05,0.0,[Fe/H],,,,,1.71,0.05,-0.05,0.0,9.49,1.76,-1.76,0.0,,,,,1.0,,,1.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.216,-0.216,4.43216,0.006238,-0.006238,2014-05-14,2009-06,2014-05-14
55 Cnc f,55 Cnc,1,2,5,Radial Velocity,2007,Multiple Observatories,Published Confirmed,0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,259.88,0.29,-0.29,0.0,0.7708,0.0043,-0.0044,0.0,,,,,,,,,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,,,,,,,,,47.8,2.4,-2.4,0.0,0.1503,0.0076,-0.0076,0.0,Msini,,,,,0.08,0.05,-0.04,0.0,,,,,,,,,,,,,,,,,,0.0,5.14,0.26,-0.25,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,[Fe/H],,,,,4.43,0.02,-0.02,0.0,,,,,,,,,1.23,0.01,-0.01,1.0,38.8,0.05,-0.05,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523,2021-02-05,2018-10,2021-02-11
91 Aqr b,91 Aqr,1,3,1,Radial Velocity,2013,Lick Observatory,Published Confirmed,0,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,181.4,0.1,-0.1,0.0,0.7,,,0.0,,,,,,,,,,,,,,,,,1017.0,,,0.0,3.2,,,0.0,,,,,,,,,1017.0,,,0.0,3.2,,,0.0,Msini,,,,,0.027,0.026,-0.026,0.0,,,,,,,,,,,,,,,,,,0.0,91.5,,,0.0,<a refstr=MITCHELL_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A..87M/abstract target=ref> Mitchell et al. 2013 </a>,K0 III,4665.0,18.0,-18.0,0.0,11.0,0.1,-0.1,0.0,1.4,0.1,-0.1,0.0,-0.03,0.1,-0.1,0.0,[Fe/H],,,,,2.52,0.05,-0.05,0.0,3.56,0.63,-0.63,0.0,,,,,3.9,0.5,-0.5,0.0,,,,,-25.75,0.07,-0.07,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304,0.51325,-0.51325,4.23946,0.023,-0.023,1.597,0.236,-0.236,3.95311,0.008843,-0.008843,2014-05-14,2013-07,2014-05-14
BD+14 4559 b,BD+14 4559,1,1,1,Radial Velocity,2009,McDonald Observatory,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,268.94,0.99,-0.99,0.0,0.78,0.05,-0.05,0.0,,,,,,,,,,,,,,,,,330.5432,149.3801,-149.3801,0.0,1.04,0.47,-0.47,0.0,,,,,,,,,330.5432,149.3801,-149.3801,0.0,1.04,0.47,-0.47,0.0,Msini,,,,,0.29,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,,0.0,55.2,2.3,-2.3,0.0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,4864.0,101.0,-101.0,0.0,0.86,0.04,-0.04,0.0,0.49,0.33,-0.33,0.0,0.17,,,0.0,[Fe/H],,,,,4.26,0.29,-0.29,0.0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.352,0.0846,-0.0844,9.78,0.03,-0.03,7.336,0.023,-0.023,9.35108,0.000253,-0.000253,2018-09-04,2017-03,2018-09-06
BD+15 2940 b,BD+15 2940,1,1,1,Radial Velocity,2013,McDonald Observatory,Published Confirmed,0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,137.48,0.34,-0.34,0.0,0.539,,,0.0,,,,,,,,,,,,,,,,,352.78,,,0.0,1.11,,,0.0,,,,,,,,,352.78,,,0.0,1.11,,,0.0,Msini,,,,,0.26,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,0.0,42.7,4.4,-4.4,0.0,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,K0,4796.0,117.0,-117.0,0.0,14.7,2.8,-2.8,0.0,1.1,0.2,-0.2,0.0,0.28,0.07,-0.07,0.0,[Fe/H],2.01,0.75,-0.75,0.0,2.8,0.45,-0.45,0.0,7.1,4.2,-4.2,0.0,,,,,2.3,0.8,-0.8,0.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h00m22.95s,240.09564,+15d32m48.30s,15.5467507,426.42,6.44,-6.44,9.01,0.03,-0.03,6.525,0.016,-0.016,8.7178,0.000291,-0.000291,2014-05-14,2013-06,2014-05-14
BD+45 564 b,BD+45 564,1,1,1,Radial Velocity,2021,Haute-Provence Observatory,Published Confirmed,0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,307.88,1.47,-1.47,0.0,0.83,0.04,-0.04,0.0,,,,,,,,,,,,,,,,,432.24663,38.13941,-38.13941,0.0,1.36,0.12,-0.12,0.0,,,,,,,,,432.24663,38.13941,-38.13941,0.0,1.36,0.12,-0.12,0.0,Msini,,,,,0.12,0.06,-0.06,0.0,,,,,,,,,2.579,,,-1.0,,,,,,0.0,47.68,2.78,-2.78,0.0,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,K1,5004.0,50.0,-50.0,0.0,,,,,0.81,0.07,-0.07,0.0,-0.09,0.03,-0.03,0.0,[Fe/H],,,,,4.22,0.13,-0.13,0.0,,,,,,,,,2.0,1.0,-1.0,0.0,,,,,-6.82,0.0,0.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.622,0.1919,-0.1905,9.67,0.03,-0.03,7.557,0.024,-0.024,9.41266,0.000255,-0.000255,2021-05-28,2021-07,2021-05-28
BD+48 738 b,BD+48 738,1,1,1,Radial Velocity,2011,McDonald Observatory,Published Confirmed,0,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,392.6,5.5,-5.5,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,289.2253,,,0.0,0.91,,,0.0,,,,,,,,,289.2253,,,0.0,0.91,,,0.0,Msini,,,,,0.2,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,,0.0,31.9,2.6,-2.6,0.0,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,K0 III,4414.0,15.0,-15.0,0.0,11.0,1.0,-1.0,0.0,0.74,0.39,-0.39,0.0,-0.2,0.07,-0.07,0.0,[Fe/H],1.69,0.33,-0.33,0.0,2.24,0.06,-0.06,0.0,,,,,,,,,1.0,,,1.0,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.493,43.849,-43.849,9.139,0.004,-0.004,5.904,0.018,-0.018,8.65569,0.000365,-0.000365,2015-08-12,2012-01,2015-08-13
